Time (ns),Total E x (V/m),Total E y (V/m),Total E z (V/m)
0.174006448,-3.83101245e-14,1.30333058e-06,-1.30333069e-06
0.175006482,-4.14676872e-14,1.34769152e-06,-1.34769164e-06
0.176006515,-4.46252498e-14,1.38784969e-06,-1.38784969e-06
0.177006562,-4.77828125e-14,1.42348335e-06,-1.42348335e-06
0.178006596,-5.09403751e-14,1.45427555e-06,-1.45427555e-06
0.179006629,-4.77828125e-14,1.47991557e-06,-1.47991557e-06
0.180006662,-4.14676838e-14,1.50009691e-06,-1.50009691e-06
0.18100671,-3.51525585e-14,1.51451911e-06,-1.51451911e-06
0.182006743,-2.88374332e-14,1.52288726e-06,-1.52288726e-06
0.183006776,-2.25223062e-14,1.52491577e-06,-1.52491577e-06
0.18400681,-1.62071792e-14,1.52033022e-06,-1.5203301e-06
0.185006857,-9.89205225e-15,1.50886854e-06,-1.50886842e-06
0.18600689,-3.57692527e-15,1.49028688e-06,-1.49028665e-06
0.187006924,-4.19361777e-16,1.46436287e-06,-1.46436264e-06
0.188006971,-4.19361777e-16,1.43089937e-06,-1.43089915e-06
0.189007004,-4.19361777e-16,1.38972803e-06,-1.3897278e-06
0.190007038,-4.19361777e-16,1.34071433e-06,-1.34071422e-06
0.191007071,-4.19361777e-16,1.28376098e-06,-1.28376098e-06
0.192007119,-4.19361777e-16,1.21880623e-06,-1.21880623e-06
0.193007152,-4.19361777e-16,1.14582974e-06,-1.14582974e-06
0.194007185,4.31698346e-15,1.06485288e-06,-1.06485288e-06
0.195007219,1.37896744e-14,9.7594102e-07,-9.7594102e-07
0.196007266,2.95774893e-14,8.79196648e-07,-8.79196648e-07
0.197007299,4.69440906e-14,7.7476443e-07,-7.7476443e-07
0.198007333,6.43106919e-14,6.62828995e-07,-6.62829052e-07
0.199007366,8.16772932e-14,5.43615556e-07,-5.43615613e-07
0.200007413,9.66757192e-14,4.17378345e-07,-4.17378402e-07
0.201007447,1.06148407e-13,2.84415137e-07,-2.84415194e-07
0.20200748,1.09700667e-13,1.45058934e-07,-1.45058991e-07
0.203007514,1.06937801e-13,-3.25454552e-10,3.25397709e-10
0.204007561,9.83901816e-14,-1.51344196e-07,1.51344153e-07
0.205007594,8.5365234e-14,-3.07559787e-07,3.07559759e-07
0.206007628,7.03668081e-14,-4.68498342e-07,4.68498342e-07
0.207007675,5.61577728e-14,-6.33654963e-07,6.33654963e-07
0.208007708,4.35275188e-14,-8.0248202e-07,8.0248202e-07
0.209007742,3.40548275e-14,-9.74394538e-07,9.74394538e-07
0.210007775,2.93184835e-14,-1.14876286e-06,1.14876286e-06
0.211007822,2.77397022e-14,-1.32492369e-06,1.32492369e-06
0.212007856,3.40548309e-14,-1.50216886e-06,1.50216886e-06
0.213007889,4.35275222e-14,-1.6797544e-06,1.67975452e-06
0.214007922,5.93153388e-14,-1.85689521e-06,1.85689532e-06
0.21500797,7.51031588e-14,-2.03278069e-06,2.03278069e-06
0.216008003,8.14182841e-14,-2.20656011e-06,2.20656011e-06
0.217008037,8.77334094e-14,-2.37736435e-06,2.37736435e-06
0.21800807,9.40485347e-14,-2.54430097e-06,2.54430097e-06
0.219008117,1.0036366e-13,-2.70646001e-06,2.70646001e-06
