Time (ns),Total E x (V/m),Total E y (V/m),Total E z (V/m)
0.187001192,4.49794282e-13,9.99823824e-05,-9.90418557e-05
0.188001198,6.48352899e-17,0.000113876231,-0.000112876878
0.189001204,-8.99366736e-13,0.000128551241,-0.000127492371
0.190001209,-1.79877098e-12,0.000144006888,-0.000142888006
0.191001215,-4.49706591e-12,0.000160238589,-0.000159059447
0.19200122,-6.29590173e-12,0.000177237394,-0.000175997993
0.193001226,-6.29584709e-12,0.00019498964,-0.000193690328
0.194001232,-4.49690198e-12,0.000213476567,-0.000212118015
0.195001237,-2.69795688e-12,0.000232673963,-0.000231257247
0.196001243,-1.79847066e-12,0.000252551778,-0.000251078425
0.197001249,-1.79841602e-12,0.00027307382,-0.00027154581
0.198001254,5.01768765e-16,0.000294197263,-0.000292617158
0.19900126,1.79936491e-12,0.000315872458,-0.000314243342
0.200001266,1.79931027e-12,0.000338042388,-0.000336367928
0.201001271,3.59822805e-12,0.000360642385,-0.000358926947
0.202001291,5.39714584e-12,0.000383600011,-0.000381848542
0.203001296,8.99503562e-12,0.000406834355,-0.000405052677
0.204001302,1.25929258e-11,0.000430256128,-0.000428450701
0.205001308,1.07940627e-11,0.000453767192,-0.000451945176
0.206001313,5.39730934e-12,0.00047726027,-0.000475429581
0.207001319,1.79947376e-12,0.000500618655,-0.000498788024
0.208001324,1.79952841e-12,0.000523716211,-0.000521895126
0.20900133,1.79969234e-12,0.000546416966,-0.000544615905
0.210001336,-1.79792466e-12,0.000568575109,-0.00056680548
0.211001341,-8.99343187e-12,0.000590034819,-0.000588308962
0.212001347,-1.43900759e-11,0.000610630144,-0.000608961447
0.213001353,-7.19451408e-12,0.00063018495,-0.000628587906
0.214001358,3.59888334e-12,0.000648513203,-0.00064700318
0.215001364,1.07946638e-11,0.000665418687,-0.000664012216
0.21600137,1.07948823e-11,0.000680695288,-0.000679410005
0.217001375,-3.59613207e-12,0.000694127404,-0.000692981994
0.218001381,-2.15852006e-11,0.000705489947,-0.000704504258
0.219001386,-3.23789259e-11,0.000714548631,-0.000713743502
0.220001392,-1.79882394e-11,0.000721060729,-0.000720457989
0.221001398,7.19573533e-12,0.000724775135,-0.000724397658
0.222001417,3.05810655e-11,0.000725433172,-0.000725304766
0.223001423,3.95755442e-11,0.000722769066,-0.000722914585
0.224001429,2.69835577e-11,0.000716510869,-0.000716956099
0.225001434,-3.59733424e-12,0.000706381106,-0.000707152823
0.22600144,-3.05805554e-11,0.000692097645,-0.000693223439
0.227001445,-3.77761711e-11,0.000673374743,-0.000674883195
0.228001451,-2.51840736e-11,0.000649924215,-0.000651844661
0.229001457,-1.79863416e-12,0.00062145642,-0.000623818894
0.230001462,2.33856129e-11,0.00058768189,-0.000590517011
0.231001468,4.3173163e-11,0.000548312324,-0.00055165129
0.232001474,4.13740812e-11,0.000503062445,-0.000506936864
0.233001479,1.97873419e-11,0.000451651402,-0.000456093054
0.234001485,-5.39706994e-12,0.000393804628,-0.000398845354
0.23500149,-1.79891119e-11,0.000329255417,-0.000334927056
0.236001496,-1.07934408e-11,0.000257747044,-0.000264081231
0.237001502,1.43907525e-11,0.000179034556,-0.000186062534
0.238001507,4.31724517e-11,9.28869849e-05,-0.000100639445
0.239001513,5.75630307e-11,-9.10660674e-07,-7.59623617e-06
0.240001519,4.67695258e-11,-0.00010255503,9.32647163e-05
0.241001524,1.07920443e-11,-0.000212222119,0.000202120587
0.24200153,-2.51851092e-11,-0.000330064824,0.000319125684
0.243001536,-4.31734128e-11,-0.000456210546,0.00044440903
0.244001541,-3.23800153e-11,-0.000590758573,0.000578071806
0.245001547,-3.59820507e-12,-0.000733777706,0.000720184937
0.246001552,2.51831681e-11,-0.000885303249,0.000870786258
0.247001558,3.23779649e-11,-0.00104533462,0.00102987792
0.248001564,1.7986404e-11,-0.00121383241,0.00119742355
0.249001569,-2.51869671e-11,-0.00139071571,0.00137334573
0.250001603,-6.11646706e-11,-0.00157585938,0.00155752338
0.251001608,-6.11642334e-11,-0.0017690917,0.00174978853
0.252001614,-4.6772454e-11,-0.00197019149,0.00194992451
0.25300162,-4.6772454e-11,-0.00217888504,0.00215766276
0.254001625,-4.67733283e-11,-0.00239484455,0.00237268023
0.255001631,-3.23832974e-11,-0.00261768466,0.00259459694
0.256001637,2.51803231e-11,-0.00284696091,0.00282297446
0.257001642,8.27443808e-11,-0.00308216666,0.00305731245
0.258001648,9.71361602e-11,-0.00332273124,0.00329704699
0.259001653,5.3963882e-11,-0.00356801809,0.00354154874
0.260001659,-1.79906437e-11,-0.00381732313,0.00379012059
0.261001665,-4.6772454e-11,-0.0040698722,0.00404199632
0.26200167,-4.6772454e-11,-0.00432482082,0.00429633912
0.263001676,-4.67733283e-11,-0.00458125165,0.00455224002
0.264001682,-7.55568871e-11,-0.00483817421,0.00480871834
0.265001687,-1.04340453e-10,-0.00509452494,0.00506471889
0.266001693,-4.67768324e-11,-0.00534916529,0.00531911291
0.267001699,1.25916652e-10,-0.00560088269,0.00557069713
0.268001704,4.13739126e-10,-0.00584839005,0.00581819471
0.26900171,6.72778888e-10,-0.0060903281,0.00606025569
0.270001715,7.0155981e-10,-0.00632526446,0.00629545748
0.271001721,5.0008192e-10,-0.00655169599,0.0065223081
0.272001727,1.25909644e-10,-0.00676804967,0.00673924573
0.273001732,-1.90697264e-10,-0.00697268732,0.0069446424
0.274001738,-2.48261744e-10,-0.00716390414,0.00713680498
0.275001744,-4.67855754e-11,-0.00733993575,0.00731397932
0.276001749,3.27384064e-10,-0.00749896048,0.007474354
0.277001755,6.15206552e-10,-0.00763910403,0.00761606498
0.278001761,6.43987474e-10,-0.00775844231,0.00773719884
0.279001766,4.42510417e-10,-0.00785501022,0.00783580076
0.280001772,2.41034248e-10,-0.00792680308,0.00790987629
0.281001777,1.83470628e-10,-0.00797178876,0.00795740169
0.282001783,2.69817807e-10,-0.00798790529,0.00797632616
0.283001789,3.84947685e-10,-0.00797307864,0.00796458405
0.284001794,4.71294004e-10,-0.00792522356,0.00792009756
0.2850018,4.13728635e-10,-0.00784225576,0.00784079079
0.286001806,2.41033415e-10,-0.00772209885,0.00772459246
0.287001811,1.54684487e-10,-0.00756269554,0.00756945182
0.288001817,2.41029918e-10,-0.00736201741,0.00737334555
0.28900185,5.28851962e-10,-0.00711807515,0.00713428855
0.290001856,8.5984847e-10,-0.00682892976,0.00685034459
0.291001861,8.88631169e-10,-0.00649270322,0.00651963893
0.292001867,4.28116098e-10,-0.00610759156,0.00614036806
0.293001873,-2.9143965e-10,-0.00567187695,0.00571081322
0.294001878,-8.67084626e-10,-0.00518394168,0.00522935437
0.295001884,-9.24650023e-10,-0.00464227982,0.00469448231
0.29600189,-3.77786857e-10,-0.00404551206,0.00410481216
0.297001895,3.99335121e-10,-0.00339239812,0.00345909689
0.298001901,1.00376452e-09,-0.00268185092,0.00275624101
0.299001907,1.06133158e-09,-0.00191295077,0.00199531508
0.300001912,6.29600982e-10,-0.00108496042,0.00117556925
0.301001918,5.39577827e-11,-0.000197338391,0.000296447542
0.302001923,-2.91428326e-10,0.000750246109,-0.000642397907
0.303001929,-2.33864705e-10,0.00175789976,-0.00164109236
0.304001935,2.51733356e-11,0.00282549043,-0.00269952416
0.30500194,1.40300577e-10,0.00395263359,-0.00381733151
0.306001946,2.51698384e-11,0.00513867941,-0.00499388948
0.307001952,-2.0508989e-10,0.00638269912,-0.00622829748
0.308001957,-3.77784248e-10,0.00768347085,-0.00751936436
0.309001963,-2.62657007e-10,0.00903947093,-0.00886559952
0.310001969,1.97858951e-10,0.0104488572,-0.0102651967
