Time (ns),Total E x (V/m),Total E y (V/m),Total E z (V/m)
0.203007514,1.36406739e-12,-3.10956466e-07,3.1094919e-07
0.204007561,1.23776488e-12,-2.7156877e-05,2.71568697e-05
0.205007594,1.03568087e-12,-5.6339577e-05,5.63395697e-05
0.206007628,8.33596809e-13,-8.78847786e-05,8.78847713e-05
0.207007675,6.31512746e-13,-0.000121805177,0.000121805169
0.208007708,4.29428682e-13,-0.000158099268,0.000158099268
0.209007742,8.33596809e-13,-0.000196749636,0.000196749636
0.210007775,1.64193312e-12,-0.000237722183,0.000237722183
0.211007822,2.85443761e-12,-0.000280964741,0.000280964741
0.212007856,4.0669421e-12,-0.000326406182,0.000326406182
0.213007889,4.0669421e-12,-0.000373954448,0.000373954448
0.214007922,4.0669421e-12,-0.000423496094,0.000423496094
0.21500797,4.0669421e-12,-0.00047489506,0.00047489506
0.216008003,4.0669421e-12,-0.000527991448,0.000527991448
0.217008037,4.0669421e-12,-0.000582600594,0.000582600594
0.21800807,4.0669421e-12,-0.000638512429,0.000638512429
0.219008117,4.0669421e-12,-0.000695490453,0.000695490395
0.220008151,4.0669421e-12,-0.000753270928,0.00075327087
0.221008184,4.0669421e-12,-0.000811562815,0.000811562699
0.222008217,4.0669421e-12,-0.000870046788,0.000870046671
0.223008265,4.0669421e-12,-0.000928375637,0.000928375579
0.224008298,4.0669421e-12,-0.000986173167,0.000986173167
0.225008331,4.0669421e-12,-0.00104303518,0.00104303518
0.226008379,4.0669421e-12,-0.0010985292,0.0010985292
0.227008412,4.0669421e-12,-0.00115219562,0.00115219562
0.228008445,4.0669421e-12,-0.00120354712,0.00120354712
0.229008479,4.0669421e-12,-0.00125207112,0.00125207112
0.230008526,4.0669421e-12,-0.0012972299,0.0012972299
0.23100856,4.0669421e-12,-0.00133846258,0.00133846258
0.232008593,4.0669421e-12,-0.00137518637,0.00137518637
0.23300864,8.3359708e-13,-0.00140679895,0.00140679895
0.234008674,-2.39974794e-12,-0.00143268018,0.00143268018
0.235008707,-5.63309295e-12,-0.00145219534,0.00145219534
0.23600874,-8.86643797e-12,-0.00146469742,0.00146469742
0.237008774,-1.2099783e-11,-0.00146953028,0.00146953028
0.238008807,-1.53331271e-11,-0.00146603223,0.00146603223
0.23900884,-1.85664713e-11,-0.00145354006,0.00145354006
0.240008902,-2.17998154e-11,-0.00143139262,0.00143139274
0.241008935,-2.17998154e-11,-0.00139893487,0.00139893498
0.242008968,-1.85664713e-11,-0.00135552371,0.00135552383
0.243009002,-1.20997812e-11,-0.00130053202,0.00130053214
0.244009035,-2.3997462e-12,-0.00123335409,0.00123335409
0.245009069,7.30028885e-12,-0.00115341065,0.00115341053
0.246009102,1.70003248e-11,-0.00106015475,0.00106015464
0.247009163,2.67003607e-11,-0.000953077863,0.000953077688
0.248009197,3.31670524e-11,-0.000831715763,0.00083171553
0.24900923,3.47837245e-11,-0.000695655006,0.000695654773
0.250009263,3.31670524e-11,-0.000544539245,0.000544539012
0.251009297,2.99337083e-11,-0.000378075754,0.000378075551
0.25200933,2.50836903e-11,-0.000196041932,0.000196041758
0.253009363,1.82128323e-11,1.70884198e-06,-1.70898022e-06
0.254009397,9.24535188e-12,0.000215238484,-0.000215238601
0.255009458,-1.26302007e-12,0.000444517616,-0.000444517704
0.256009491,-1.33880641e-11,0.000689421082,-0.00068942114
0.257009525,-2.79381171e-11,0.000949722074,-0.000949722074
0.258009558,-4.24881692e-11,0.00122508139,-0.00122508139
0.259009592,-5.54215493e-11,0.00151504611,-0.00151504611
